week,ctv_spend,social_spend,search_spend,linear_tv_spend,conversions
2024-01-01,50000,15000,25000,80000,1200
2024-01-08,52000,16000,26000,82000,1250
2024-01-15,48000,14000,24000,78000,1150
2024-01-22,55000,17000,28000,85000,1320
2024-01-29,53000,15500,27000,83000,1280
2024-02-05,56000,18000,29000,87000,1350
2024-02-12,54000,16500,27500,84000,1300
2024-02-19,58000,19000,30000,90000,1400
2024-02-26,57000,18500,29500,88000,1380
2024-03-04,60000,20000,31000,92000,1450
2024-03-11,59000,19500,30500,91000,1420
2024-03-18,62000,21000,32000,95000,1500
2024-03-25,61000,20500,31500,93000,1480
2024-04-01,64000,22000,33000,97000,1550
2024-04-08,63000,21500,32500,96000,1520
2024-04-15,66000,23000,34000,100000,1600
2024-04-22,65000,22500,33500,98000,1580
2024-04-29,68000,24000,35000,102000,1650
2024-05-06,67000,23500,34500,101000,1620
2024-05-13,70000,25000,36000,105000,1700
2024-05-20,69000,24500,35500,103000,1680
2024-05-27,72000,26000,37000,108000,1750
2024-06-03,71000,25500,36500,106000,1720
2024-06-10,74000,27000,38000,110000,1800
2024-06-17,73000,26500,37500,109000,1780
2024-06-24,76000,28000,39000,112000,1850
2024-07-01,75000,27500,38500,111000,1820
2024-07-08,78000,29000,40000,115000,1900
2024-07-15,77000,28500,39500,113000,1880
2024-07-22,80000,30000,41000,118000,1950
2024-07-29,79000,29500,40500,116000,1920
2024-08-05,82000,31000,42000,120000,2000
2024-08-12,81000,30500,41500,119000,1980
2024-08-19,84000,32000,43000,123000,2050
2024-08-26,83000,31500,42500,121000,2020
2024-09-02,86000,33000,44000,125000,2100
2024-09-09,85000,32500,43500,124000,2080
2024-09-16,88000,34000,45000,128000,2150
2024-09-23,87000,33500,44500,126000,2120
2024-09-30,90000,35000,46000,130000,2200
2024-10-07,89000,34500,45500,129000,2180
2024-10-14,92000,36000,47000,133000,2250
2024-10-21,91000,35500,46500,131000,2220
2024-10-28,94000,37000,48000,135000,2300
2024-11-04,93000,36500,47500,134000,2280
2024-11-11,96000,38000,49000,138000,2350
2024-11-18,95000,37500,48500,136000,2320
2024-11-25,98000,39000,50000,140000,2400
2024-12-02,97000,38500,49500,139000,2380
2024-12-09,100000,40000,51000,143000,2450
2024-12-16,99000,39500,50500,141000,2420
2024-12-23,102000,41000,52000,145000,2500
