conversion_id,user_id,timestamp,value
conv_0,user_c913303f,2024-01-28 21:29:00,164.92660750173232
conv_1,user_6ecbdd6e,2024-01-27 08:02:00,99.14637345823147
conv_2,user_801c14f0,2024-01-24 15:40:00,199.36289076992017
conv_3,user_35936504,2024-01-27 04:24:00,259.8764415457451
conv_4,user_149e9677,2024-01-30 03:11:00,294.95547339825407
conv_5,user_7895fc13,2024-01-27 04:12:00,247.68509053215914
conv_6,user_0e55666a,2024-01-25 12:10:00,186.08308634529223
conv_7,user_6f2688a5,2024-01-27 20:32:00,360.694228499823
conv_8,user_60815949,2024-01-28 16:16:00,343.3345681984917
conv_9,user_f6e794a7,2024-01-28 12:35:00,58.135569882428584
conv_10,user_01a06836,2024-01-23 09:56:00,494.03584835541585
conv_11,user_d09bf415,2024-01-24 12:26:00,163.45262278966024
conv_12,user_ed519dac,2024-01-28 23:25:00,485.96366941677326
conv_13,user_1068c6e4,2024-01-28 11:19:00,171.0341297082362
conv_14,user_50c3d761,2024-01-26 00:29:00,283.44063853755415
conv_15,user_277281aa,2024-01-23 20:26:00,264.3614605928552
conv_16,user_c15da1f2,2024-01-27 02:29:00,462.2837199916338
conv_17,user_69cb3ea3,2024-01-28 01:58:00,176.85971379722199
conv_18,user_afe43465,2024-01-23 13:28:00,282.6150396583263
conv_19,user_ca460332,2024-01-20 21:51:00,100.31463205888062
conv_20,user_ae0eb3ee,2024-01-30 19:37:00,272.1692578402821
conv_21,user_b0b183c2,2024-01-29 14:44:00,248.1723157845695
conv_22,user_962e56a8,2024-01-27 01:28:00,388.34845729738856
conv_23,user_24917db1,2024-01-28 22:34:00,217.4464604036584
conv_24,user_076023ed,2024-01-26 19:36:00,166.77962356863023
conv_25,user_a4856405,2024-01-26 13:16:00,233.83765017476279
conv_26,user_d8d31bd7,2024-01-21 08:35:00,400.6852699365235
conv_27,user_cd0cbcc6,2024-01-27 00:35:00,133.4581293585012
conv_28,user_a9a1d531,2024-01-28 17:53:00,244.681615404779
conv_29,user_f76a89f0,2024-01-25 18:12:00,296.14605973716886
conv_30,user_5caf41d6,2024-01-27 14:32:00,435.37426010197896
conv_31,user_eecca5b6,2024-01-28 10:24:00,373.87239739691137
conv_32,user_a869ccbc,2024-01-28 19:09:00,106.45499563287014
conv_33,user_4e0cb6fb,2024-01-28 02:31:00,244.78404531764207
conv_34,user_602d1305,2024-01-27 15:49:00,90.18897576504635
conv_35,user_7cc23420,2024-01-27 17:48:00,369.3908248250733
conv_36,user_08419be8,2024-01-28 10:13:00,146.03737290327393
conv_37,user_536a76f9,2024-01-20 19:18:00,220.66077771437682
conv_38,user_0d0871f0,2024-01-24 01:59:00,227.87263437013254
conv_39,user_2715518c,2024-01-16 00:54:00,416.7065024924503
conv_40,user_b73ce398,2024-01-29 07:28:00,398.1880658986083
conv_41,user_dc82d632,2024-01-25 18:28:00,477.343931674551
conv_42,user_c3e878e2,2024-01-18 14:24:00,166.1216249571275
conv_43,user_b571ecea,2024-01-20 22:37:00,371.8124787097487
conv_44,user_55743cc0,2024-01-25 22:58:00,120.35296642044408
conv_45,user_8c00dee2,2024-01-25 09:00:00,62.83699673734002
conv_46,user_c3c59e5f,2024-01-20 08:01:00,321.9386010015666
conv_47,user_fd2c5e46,2024-01-26 15:15:00,142.20111963843237
conv_48,user_d10ec7c1,2024-01-24 12:05:00,95.06432775027987
conv_49,user_8c7bbbba,2024-01-28 18:41:00,191.74144094383072
