week,ctv_spend,linear_tv_spend,search_spend,social_spend,conversions
2024-01-07,85960.56983613479,107871.02860600868,38605.333804142334,24127.08174494015,3947.2999522547957
2024-01-14,79320.50644337299,116680.52863891431,62397.72958470744,24312.46769435999,5111.558917658833
2024-01-21,89717.55700227802,137572.43389544982,39847.29993832015,27013.71767203907,5491.586661772405
2024-01-28,101159.35121939043,116268.5424253097,44210.268893605375,20825.767443787325,5584.064906207702
2024-02-04,80969.48334120859,118596.23543463733,43331.46652352868,24354.595815946974,5761.9703751525385
2024-02-11,81811.79756738215,115371.79535669854,41581.61921885348,19604.0264797258,5741.026920165201
2024-02-18,104347.84274432274,92093.49227562448,35154.429206744986,22970.15400200072,5572.733160220652
2024-02-25,95304.99504289603,118031.71199702937,42979.68754666711,20873.229301426858,5764.141157134586
2024-03-03,81073.25521900675,120017.09206528253,32524.51318271095,22161.716787520134,5657.557257334939
2024-03-10,93732.83026671878,152445.1967823757,36501.94276568309,24781.31256310637,5832.971856540753
2024-03-17,82072.96378157992,117957.55239596723,34942.31970690292,17817.390607665006,5658.376035944401
2024-03-24,82348.0082657961,124893.47721818255,39045.4537982339,32446.127705587096,5869.259585044794
2024-03-31,91029.83363619224,120715.44840881554,54757.860256826985,17001.484686851447,6048.073982931084
2024-04-07,65240.63706410643,105848.44990342218,25516.64365185776,15979.056936061339,5510.6751546388805
2024-04-14,67458.04161801265,136301.2126128307,43372.53316119555,27829.8182695426,5763.7132103791655
2024-04-21,81250.85341928598,130923.18371545969,27210.24680112516,25957.88941235909,5615.597825450607
2024-04-28,75572.31034362408,131065.26190896932,35076.72609656522,25052.170032170066,5785.556348738707
2024-05-05,91116.15465790743,108095.71726351016,45836.17334548087,24978.024213012435,6022.40237948672
2024-05-12,75964.5050978178,137950.47665995595,38451.55751044988,21653.96463678351,6037.617717415378
2024-05-19,69332.749261653,100131.10727794707,30203.458788478332,17083.82656198997,5716.820712298664
2024-05-26,103200.45880067731,125463.93980188924,32448.41872363839,21782.1911843733,5894.515738642221
2024-06-02,82158.27929108773,145606.95724396518,41886.757009947934,17831.090166670983,5929.887011844221
2024-06-09,84866.58537106677,102502.26001614098,31662.041603210153,25889.660395791674,5815.55611302385
2024-06-16,66093.70701562497,106912.06218824978,37911.1349240304,20062.38440503592,5875.943804347533
2024-06-23,75751.16338922904,114455.56263401231,36318.14616587161,16443.45303692025,5865.682366566555
2024-06-30,82679.97990317637,105208.87100232088,31028.945178422146,18730.29799839953,5754.038315352027
2024-07-07,66588.07707093237,90081.24270992706,50182.60862527728,22164.65727137812,5821.987379121522
2024-07-14,83959.46739349008,110150.28163078484,39197.285544563216,17044.15002931563,5875.784711778363
2024-07-21,71308.57963744311,93937.42636395997,20174.85860685184,15517.959001285035,5387.097627345106
2024-07-28,74108.98975229425,112964.22786537804,35259.25540642942,20620.764744912954,5707.954114978294
2024-08-04,69523.27373843556,93386.26060024774,28942.886721391173,20410.771126840693,5615.646903442938
2024-08-11,98159.74331718108,124866.19116295804,39187.46057616836,16448.38539891281,5765.89299386171
2024-08-18,75025.35972952613,93043.630377436,27346.810142512935,16441.64007850372,5571.32480572108
2024-08-25,61827.0751748527,98213.2466792799,31799.172675748236,19790.151267369056,5504.391945713994
2024-09-01,83809.74494116593,112404.83551368018,35883.313576081564,11244.379791495296,5609.765248075391
2024-09-08,58804.68953358359,84752.9593562711,38196.76719248154,11326.384461426187,5548.644757696651
2024-09-15,75580.0793524199,103478.83092877342,23567.675993518307,14676.20794682853,5254.151761666411
